Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.

The data posted on this website, including crash records and other reports, are collected for the purpose of identifying, evaluating or planning the safety enhancement of potential crash sites, hazardous roadway conditions or railway-highway crossings. Under federal law, this information is not subject to discovery and cannot be admitted into evidence in any federal or state court proceeding or considered for other purposes in any action for damages that involves the sites mentioned in these records (see 23 USC, Section 409).
"

Crash_Number,City_Town_Name,Crash_Date,Crash_Time,Crash_Severity,Maximum_Injury_Severity_Reported,Number_of_Vehicles,Total_Nonfatal_Injuries,Total_Fatal_Injuries,Manner_of_Collision,Vehicle_Action_Prior_to_Crash,Vehicle_Travel_Directions,Most_Harmful_Events,Vehicle_Configuration,Road_Surface_Condition,Ambient_Light,Weather_Condition,At_Roadway_Intersection,Distance_From_Nearest_Roadway_Intersection,Distance_From_Nearest_Milemarker,Distance_From_Nearest_Exit,Distance_From_Nearest_Landmark,Non_Motorist_Type,X_Cooordinate,Y_Cooordinate
4483556,SOMERVILLE,01-Jan-2018,3:10 AM,Property damage only (none injured),No injury,2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dark - lighted roadway,Clear,,FELLSWAY Rte SR28 N / MCGRATH HIGHWAY Rte SR28,,,IN THE 28 N TUNNEL,,234112.4297134,904830.08328614
4509823,SOMERVILLE,01-Jan-2018,8:00 AM,Property damage only (none injured),No injury,2,0,0,Head-on,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,7 MEACHAM STREET,,,,,233228.40193716,905305.8533311
4522665,SOMERVILLE,02-Jan-2018,6:30 AM,Property damage only (none injured),No injury,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: Not Reported,,V1:(Passenger car),Ice,Dawn,Clear,,HIGHLAND AVENUE / PORTER STREET,,,,,232094.59400549,904596.75006367
4483557,SOMERVILLE,02-Jan-2018,8:05 AM,Property damage only (none injured),No injury,2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,MYSTIC VALLEY PARKWAY Rte SR16 W / BOSTON AVENUE,,,,,,
4480299,SOMERVILLE,03-Jan-2018,1:26 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,ALEWIFE BROOK PARKWAY Rte SR16 W,ALEWIFE BROOK PARKWAY Rte SR16 W,,,,,,
4509822,SOMERVILLE,03-Jan-2018,1:31 PM,Non-fatal injury,Non-fatal injury - Possible,2,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: Not Reported / V2: Not Reported,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear/Clear,JAQUES STREET / EDGAR AVENUE,JAQUES STREET / EDGAR AVENUE,,,,,233218.06433618,905203.28933197
4480251,SOMERVILLE,03-Jan-2018,5:00 PM,Non-fatal injury,Non-fatal injury - Possible,3,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Clear,,Rte 93 N,,Exit 31 on Rte 93 N,,,232872.0919172,906415.03184424
4509636,SOMERVILLE,03-Jan-2018,7:59 PM,Property damage only (none injured),No injury,2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Dark - lighted roadway,Clear,BROADWAY / WINCHESTER STREET,BROADWAY / WINCHESTER STREET,,,,,232161.8933272,905454.79909221
